MacroPlot Name,Date,Index,Transect,SampLoc,OffSet,LittDep,DuffDep,FuelbedDep,DLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
DENA-TLS-29,7/7/2022 7:39:44 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-15,6/13/2003 5:45:42 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-15,7/23/2009 4:21:52 PM,,,,,,,,,,,,,0,R Wilson; M Llanes; C Campanelli,J OConnor,,,,,True,
DENA-HZF-Z3-15,8/12/2021 7:49:56 PM,,,,,,,,,,,,,0,M Neuser; W Gautsch,J OConnor,,,,,True,
DENA-HQ-TX-04,6/23/2021 2:33:37 PM,,,,,,,,,,,,,0,J Hrobak; M Neuser; K Cowan,J O'Connor,,,,,True,
DENA-HQ-TX-04,6/23/2023 11:37:53 AM,,,,,,,,,,,,,0,,,,,,,True,
DENA-TLS-30,6/25/2022 6:17:20 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HQ-TX-18,6/22/2021 5:31:28 PM,,,,,,,,,,,,,0,J Barnes,J OConnor,,,,,True,
DENA-HZF-Z2-15RL,8/12/2003 9:28:55 AM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z2-15RL,8/12/2003 9:28:55 AM,-2147483648,1,0,False,0.4,2.2,2.6,Default,,,,,,,,,,,,,
DENA-HZF-Z2-15RL,8/12/2003 9:28:55 AM,-2147483647,1,16,False,0,4.7,4.7,Default,,,,,,,,,,,,,
DENA-HZF-Z2-15RL,6/16/2005 4:47:45 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z2-15RL,6/16/2005 4:47:45 PM,-2147483648,1,0,False,0,5.1,5.1,Default,,,,,,,,,,,,,
DENA-HZF-Z2-15RL,6/16/2005 4:47:45 PM,-2147483647,1,16,False,0,0,0,Default,in retaining wall rocks,,,,,,,,,,,,
DENA-HZF-Z2-15RL,7/25/2009 9:39:23 AM,,,,,,,,,,,,,0,J Mitchell; R Wilson; M Llanes; C Campanelli; B McCreary; H Bradshaw,J OConnor,,,,,True,
DENA-HZF-Z2-15RL,9/1/2021 7:23:10 PM,,,,,,,,,,,,,0,J Barnes,J OConnor,,,,,True,
DENA-TLS-23,6/24/2022 4:45:20 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-TLS-20,6/28/2022 1:36:05 PM,,,,,,,,,,,,,0,,,,,,,True,
