MacroPlot Name,Date,Index,Transect,SampLoc,OffSet,LittDep,LiveMoss,DeadMoss,UppDuffDep,LowDuffDep,LichDep,FuelbedDep,ExpDLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
DENA-A274-F8,7/22/2016 2:19:59 PM,,,,,,,,,,,,,,,,,1,Winter West; Esther Babcock; Rachel Loehman,J. Hrobak,Surface layer burn severity,Surface layer code at point where duff plug is taken,,,True,
DENA-A274-F8,7/22/2016 2:19:59 PM,-2147483648,1,1,False,0.2,1,,20,,3.5,24.5,Default,Lichen was patchy. Upper duff is 20+ cm because sampled in SM.,,SM,,,,,,,,,,
DENA-A274-F8,7/22/2016 2:19:59 PM,-2147483647,1,2,False,0.2,1,,20,,0.2,21,Default,Upper duff is 20+ cm because sampled in SM.,,SM,,,,,,,,,,
DENA-A274-F8,7/22/2016 2:19:59 PM,-2147483646,1,3,False,1,,,20,,0.2,21,Default,Upper duff is 20+ cm because sampled in SM.,Scorched,SM,,,,,,,,,,
A148-90-324,7/14/2005 2:20:56 PM,,,,,,,,,,,,,,,,,1,Stirehford; Ostmann,J. Hrobak,Surface layer burn severity,Surface layer code at point where duff plug is taken ,Sample Location,,True,
A148-90-324,7/14/2005 2:20:56 PM,-2147483648,1,1,False,3,0,4,6,5,0,18,Default,,,,0m,,,,,,,,,
A148-90-324,7/14/2005 2:20:56 PM,-2147483647,1,2,False,2,0,0,4,6,2,14,Default,,,,30m,,,,,,,,,
127-A001,6/14/2005 2:35:37 PM,,,,,,,,,,,,,,,,,1,D. Ostmann & C. Reynar,J. Northway,Surface layer burn severity,Surface layer code at point where duff plug was taken,,,True,
127-A001,6/14/2005 2:35:37 PM,-2147483648,1,1,False,0.5,1,1,6.5,7.5,0,,Default,,,,,,,,,,,,,
127-A001,6/14/2005 2:35:37 PM,-2147483647,1,2,False,0,3,4,5.5,9.5,0,,Default,,,,,,,,,,,,,
127-A001,6/27/2013 2:46:13 PM,,,,,,,,,,,,,,,,,1,J. Barnes,J. Northway,Surface layer burn severity,Surface layer code at point where duff plug was taken,,,True,
127-A001,6/27/2013 2:46:13 PM,-2147483648,1,1,False,1.5,,,12,8,,21.5,Default,Frozen at LD layer,,,,,,,,,,,,
127-A001,6/27/2013 2:46:13 PM,-2147483647,1,2,False,,3,5,21,,,29,Default,Frozen at UD layer,,Sphag,,,,,,,,,,
DENA-TLS-21,8/3/2022 1:40:03 PM,,,,,,,,,,,,,,,,,1,Tessa Schaub; Matthew Behrens,Tessa Schaub,Surface layer burn severity,Surface layer code at point where duff plug is taken ,Sample Location,,True,
DENA-TLS-21,8/3/2022 1:40:03 PM,-2147483648,1,1,False,0,2,3,10,2,2,19,Default,,,Duff,,,,,,,,,,
DENA-TLS-21,8/3/2022 1:40:03 PM,-2147483647,1,2,False,0,5,12,5,25,0,47,Default,,,duff,,,,,,,,,,
A417-02-663,7/13/2005 10:02:39 AM,,,,,,,,,,,,,,,,,1,Olson; Reynar; Ostmann,J. Hrobak,Surface layer burn severity,Surface layer code at point where duff plug is taken ,Sample Location,,True,
A417-02-663,7/13/2005 10:02:39 AM,-2147483648,1,1,False,0,1,0,0,2,0,3,Default,,,,0m,,,,,,,,,
A417-02-663,7/13/2005 10:02:39 AM,-2147483647,1,2,False,0,1,0,0,1,0,2,Default,,,,30m,,,,,,,,,
A255-90-323,7/14/2005 3:21:54 PM,,,,,,,,,,,,,,,,,1,Parker; Olson,J. Hrobak,Surface layer burn severity,Surface layer code at point where duff plug is taken ,Sample Location,,True,
A255-90-323,7/14/2005 3:21:54 PM,-2147483648,1,1,False,1,1,8,7,5,0,22,Default,,,,0m,,,,,,,,,
A255-90-323,7/14/2005 3:21:54 PM,-2147483647,1,2,False,0,1,2.5,9.5,6,1,20,Default,,,,30m,,,,,,,,,
DENA-HZF-Z2-14,6/13/2003 9:12:53 AM,,,,,,,,,,,,,,,,,1,,,,,,,True,
DENA-HZF-Z2-14,6/13/2003 9:12:53 AM,-2147483648,1,0,False,6,0,3,4,5,,18,Default,,,,,,,,,,,,,
DENA-HZF-Z2-14,6/13/2003 9:12:53 AM,-2147483647,1,16,False,3,,,2,18,,23,Default,,,,,,,,,,,,,
DENA-HZF-Z2-14,6/14/2005 4:32:56 PM,,,,,,,,,,,,,,,,,1,,,,,,,True,
DENA-HZF-Z2-14,6/14/2005 4:32:56 PM,-2147483648,1,0,False,3,,,8,11,,21,Default,,,,,,,,,,,,,
DENA-HZF-Z2-14,6/14/2005 4:32:56 PM,-2147483647,1,16,False,4,,,6,20,,30,Default,,,,,,,,,,,,,
