MacroPlot Name,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
DENA-TLS-26,6/22/2022 1:52:29 PM,-2147483648,1,180,2,3,0,0,Default,,,,,,,,,,,,,,,,
DENA-TLS-22,6/24/2022 3:39:43 PM,,,,,,,,,,,,,1,6,6,12,J. Barnes; T. Schaub; M. Behrens,T. Schaub,,,,,True,
DENA-TLS-22,6/24/2022 3:39:43 PM,-2147483648,1,180,0,2,0,0,Default,,,,,,,,,,,,,,,,
DENA-A274-G4,8/16/2016 9:56:09 AM,,,,,,,,,,,,,1,12,12,98,Rachel Loehman,J. Hrobak,,,,,True,
DENA-A274-G4,8/16/2016 9:56:09 AM,-2147483648,1,0,0,20,6,7,Default,,,,,,,,,,,,,,,,
DENA-A274-H6,8/17/2016 1:53:56 PM,,,,,,,,,,,,,1,12,12,98,Rachel Loehman,J. Hrobak,,,,,True,
DENA-A274-H6,8/17/2016 1:53:56 PM,-2147483648,1,10,2,3,2,14,Default,,,,,,,,,,,,,,,,
DENA-A274-G2,8/16/2016 1:58:54 PM,,,,,,,,,,,,,1,12,12,98,Rachel Loehman,J. Hrobak,,,,,True,
DENA-A274-G2,8/16/2016 1:58:54 PM,-2147483648,1,0,0,6,2,0,Default,,,,,,,,,,,,,,,,
DENA-HQ-TX-07,6/23/2021 2:20:41 PM,,,,,,,,,,,,,1,6,6,12,J Hrobak; M  Neuser,J O'Connor,,,,,True,
DENA-HQ-TX-07,6/23/2021 2:20:41 PM,-2147483648,1,180,0,2,0,0,Default,,,,,,,,,,,,,,,,
DENA-HQ-TX-07,6/26/2023 12:07:04 PM,,,,,,,,,,,,,1,6,6,12,,S. Stehn,,,,,True,
DENA-HQ-TX-07,6/26/2023 12:07:04 PM,-2147483648,1,0,1,30,1,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-C-04RL,7/23/2009 1:43:12 AM,,,,,,,,,,,,,1,6,6,12,J Mitchell; R Wilson; M Llanes; C Campanelli; H Bradshaw,J OConnor,,,,,True,
DENA-HZF-C-04RL,7/23/2009 1:43:12 AM,-2147483648,1,180,10,35,10,4,Default,,,,,,,,,,,,,,,,
DENA-HZF-C-04RL,8/12/2021 1:39:37 PM,,,,,,,,,,,,,1,6,6,12,M. Neuser; W. Gautsh,J. Hrobak,,,,,True,
DENA-HZF-C-04RL,8/12/2021 1:39:37 PM,-2147483648,1,180,10,5,1,1,Default,,,,,,,,,,,,,,,,
